Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,30.0,400,400.0,1000.0,31386991,0,0,0
17.0,34.0,400,400.0,1000.0,28556060,0,0,0
19.0,38.0,400,400.0,1000.0,28155186,0,0,0
21.0,42.0,400,399.0,1000.0,28621674,0,0,0
23.0,46.0,400,399.0,1000.0,28309063,0,0,0
25.0,50.0,400,358.0,890.8,25335500,10,312.463563217363,6
27.0,54.0,400,1.0,30.5,887157,10,1061.3844247782795,21
29.0,58.0,400,1.0,117.2,3235658,9,1094.2327990467575,21
31.0,62.0,400,1.0,310.8,8508893,7,1065.3710562398944,21
33.0,66.0,400,1.0,14.7,497086,10,1059.7963295155616,21
35.0,70.0,400,1.0,10.1,367223,10,1104.229117875536,22
37.0,74.0,400,1.0,110.2,3021830,9,1132.4694698803169,22
39.0,78.0,400,1.0,105.8,2856750,9,1092.3906018563575,21
41.0,82.0,400,400.0,1000.0,28363915,0,0,0
43.0,86.0,400,1.0,2.7,165722,10,1114.2909024252363,21
45.0,90.0,400,1.0,4.6,180298,10,1091.4677637747168,13
47.0,94.0,400,1.0,4.0,161425,10,1091.4677637747168,13
49.0,98.0,400,1.0,103.5,3114750,9,1091.4677637747166,13
51.0,102.0,400,1.0,48.1,1389865,10,983.8250671974508,10
53.0,106.0,400,1.0,43.0,1313449,10,995.1630882262574,11
55.0,110.0,400,1.0,45.1,1361556,10,993.2389897108208,11
57.0,114.0,400,1.0,36.3,1066131,10,986.4592047745895,10
59.0,118.0,400,1.0,35.0,1066372,10,963.2378810974218,10
61.0,122.0,400,1.0,34.2,1030955,10,1004.0351746935937,11
63.0,126.0,400,1.0,34.2,1067095,10,995.8050926209605,10
65.0,130.0,400,1.0,29.0,856197,10,989.4287668477621,10
67.0,134.0,400,1.0,27.2,830177,10,970.0201573923914,8
69.0,138.0,400,1.0,27.0,797249,10,987.6537888680253,8
71.0,142.0,400,1.0,22.0,666502,10,1068.1086047623478,8
73.0,146.0,400,1.0,19.3,590488,10,981.642711626689,8
75.0,150.0,400,1.0,19.3,599001,10,969.6205571440157,8
