Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,33317463,0,0,0,400
17.0,1.7,400,400.0,1000.0,30329216,0,0,0,400
19.0,1.9,400,400.0,1000.0,29709926,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,30694580,0,0,0,400
23.0,2.3,400,400.0,1000.0,31274485,0,0,0,400
25.0,2.5,400,400.0,1000.0,31275588,0,0,0,400
27.0,2.7,400,400.0,1000.0,31358609,0,0,0,400
29.0,2.9,400,400.0,1000.0,31314389,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,31226357,0,0,0,400
33.0,3.3,400,400.0,1000.0,31349873,0,0,0,400
35.0,3.5,400,400.0,1000.0,31413458,0,0,0,400
37.0,3.7,400,400.0,1000.0,31255849,0,0,0,400
39.0,3.9,400,400.0,1000.0,31394030,0,0,0,400
41.0,4.1,400,400.0,1000.0,31398540,0,0,0,400
43.0,4.3,400,400.0,1000.0,31284000,0,0,0,400
45.0,4.5,400,400.0,1000.0,31512013,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,31514849,0,0,0,400
49.0,4.9,400,400.0,1000.0,31483635,0,0,0,400
51.0,5.1,400,400.0,1000.0,31332781,0,0,0,400
53.0,5.3,400,400.0,1000.0,31394073,0,0,0,400
55.0,5.5,400,400.0,1000.0,31553869,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,31682471,0,0,0,400
59.0,5.9,400,400.0,1000.0,31348622,0,0,0,400
61.0,6.1,400,400.0,1000.0,31502225,0,0,0,400
63.0,6.3,400,400.0,1000.0,31310971,0,0,0,400
65.0,6.5,400,400.0,1000.0,31551285,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,31402188,0,0,0,400
69.0,6.9,400,400.0,1000.0,31738135,0,0,0,400
71.0,7.1,400,400.0,1000.0,31386711,0,0,0,400
73.0,7.3,400,400.0,1000.0,31730685,0,0,0,400
75.0,7.5,400,400.0,1000.0,31511304,0,0,0,400
15.0,3.0,400,400.0,1000.0,31246799,0,0,0,400
17.0,3.4,400,400.0,1000.0,31298430,0,0,0,400
19.0,3.8,400,400.0,1000.0,31273978,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,31754311,0,0,0,400
23.0,4.6,400,400.0,1000.0,31755395,0,0,0,400
25.0,5.0,400,400.0,1000.0,31161722,0,0,0,400
27.0,5.4,400,400.0,1000.0,31514702,0,0,0,400
29.0,5.8,400,400.0,1000.0,30994934,0,0,0,400
31.0,6.2000003,400,400.0,1000.0,31257684,0,0,0,400
33.0,6.6,400,400.0,1000.0,31575682,0,0,0,400
35.0,7.0,400,400.0,1000.0,31225399,0,0,0,400
37.0,7.4,400,400.0,1000.0,31361761,0,0,0,400
39.0,7.8,400,400.0,1000.0,29393585,0,0,0,400
41.0,8.2,400,400.0,1000.0,29976143,0,0,0,400
43.0,8.6,400,400.0,1000.0,29433223,0,0,0,400
45.0,9.0,400,400.0,1000.0,29052605,0,0,0,400
47.0,9.400001,400,400.0,1000.0,29059209,0,0,0,400
49.0,9.8,400,400.0,1000.0,29130702,0,0,0,400
51.0,10.2,400,400.0,1000.0,29181211,0,0,0,400
53.0,10.6,400,400.0,1000.0,29035456,0,0,0,400
55.0,11.0,400,400.0,1000.0,29014368,0,0,0,400
57.0,11.400001,400,400.0,1000.0,29099090,0,0,0,400
59.0,11.8,400,400.0,1000.0,29079018,0,0,0,400
61.0,12.2,400,400.0,1000.0,29129708,0,0,0,400
63.0,12.6,400,400.0,1000.0,29117633,0,0,0,400
65.0,13.0,400,400.0,1000.0,29121604,0,0,0,400
67.0,13.400001,400,400.0,1000.0,29159777,0,0,0,400
69.0,13.8,400,400.0,1000.0,29275503,0,0,0,400
71.0,14.2,400,400.0,1000.0,29177521,0,0,0,400
73.0,14.6,400,400.0,1000.0,29178694,0,0,0,400
75.0,15.0,400,400.0,1000.0,29263891,0,0,0,400
15.0,4.5,400,400.0,1000.0,28959311,0,0,0,400
17.0,5.1000004,400,400.0,1000.0,28967425,0,0,0,400
19.0,5.7000003,400,400.0,1000.0,28939111,0,0,0,400
21.0,6.3,400,400.0,1000.0,28945338,0,0,0,400
23.0,6.9,400,400.0,1000.0,29017791,0,0,0,400
25.0,7.5000005,400,400.0,1000.0,29230868,0,0,0,400
27.0,8.1,400,400.0,1000.0,29067726,0,0,0,400
29.0,8.700001,400,400.0,1000.0,29064799,0,0,0,400
31.0,9.3,400,400.0,1000.0,29041122,0,0,0,400
33.0,9.900001,400,400.0,1000.0,29041870,0,0,0,400
35.0,10.5,400,400.0,1000.0,28988419,0,0,0,400
37.0,11.1,400,400.0,1000.0,29012035,0,0,0,400
39.0,11.700001,400,400.0,1000.0,29034649,0,0,0,400
41.0,12.3,400,400.0,1000.0,28951570,0,0,0,400
43.0,12.900001,400,400.0,1000.0,29031080,0,0,0,400
45.0,13.500001,400,400.0,1000.0,29000535,0,0,0,400
47.0,14.1,400,400.0,1000.0,29016702,0,0,0,400
49.0,14.700001,400,400.0,1000.0,29113760,0,0,0,400
51.0,15.3,400,400.0,1000.0,29113507,0,0,0,400
53.0,15.900001,400,400.0,1000.0,29077364,0,0,0,400
55.0,16.5,400,400.0,1000.0,29084381,0,0,0,400
57.0,17.1,400,400.0,1000.0,29163666,0,0,0,400
59.0,17.7,400,400.0,1000.0,29139499,0,0,0,400
