Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,33117917,0,0,0,400
17.0,1.7,400,400.0,1000.0,30347540,0,0,0,400
19.0,1.9,400,400.0,1000.0,29697685,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,30714474,0,0,0,400
23.0,2.3,400,400.0,1000.0,31206054,0,0,0,400
25.0,2.5,400,400.0,1000.0,31383031,0,0,0,400
27.0,2.7,400,400.0,1000.0,31258642,0,0,0,400
29.0,2.9,400,400.0,1000.0,31244452,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,31438585,0,0,0,400
33.0,3.3,400,400.0,1000.0,31229045,0,0,0,400
35.0,3.5,400,400.0,1000.0,31590437,0,0,0,400
37.0,3.7,400,400.0,1000.0,31015365,0,0,0,400
39.0,3.9,400,400.0,1000.0,31344990,0,0,0,400
41.0,4.1,400,400.0,1000.0,31273831,0,0,0,400
43.0,4.3,400,400.0,1000.0,31231612,0,0,0,400
45.0,4.5,400,400.0,1000.0,31326276,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,31576980,0,0,0,400
49.0,4.9,400,400.0,1000.0,31330052,0,0,0,400
51.0,5.1,400,400.0,1000.0,31381515,0,0,0,400
53.0,5.3,400,400.0,1000.0,31324499,0,0,0,400
55.0,5.5,400,400.0,1000.0,31546524,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,31540059,0,0,0,400
59.0,5.9,400,400.0,1000.0,31473490,0,0,0,400
61.0,6.1,400,400.0,1000.0,31384500,0,0,0,400
63.0,6.3,400,400.0,1000.0,31467238,0,0,0,400
65.0,6.5,400,400.0,1000.0,31616448,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,31607805,0,0,0,400
69.0,6.9,400,400.0,1000.0,31584478,0,0,0,400
71.0,7.1,400,400.0,1000.0,31365745,0,0,0,400
73.0,7.3,400,400.0,1000.0,31480333,0,0,0,400
75.0,7.5,400,400.0,1000.0,31441635,0,0,0,400
15.0,3.0,400,400.0,1000.0,31094531,0,0,0,400
17.0,3.4,400,400.0,1000.0,31026146,0,0,0,400
19.0,3.8,400,400.0,1000.0,31268426,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,31803402,0,0,0,400
23.0,4.6,400,400.0,1000.0,31656893,0,0,0,400
25.0,5.0,400,400.0,1000.0,31157295,0,0,0,400
27.0,5.4,400,400.0,1000.0,31417476,0,0,0,400
29.0,5.8,400,400.0,1000.0,31097832,0,0,0,400
31.0,6.2000003,400,400.0,1000.0,31499612,0,0,0,400
33.0,6.6,400,400.0,1000.0,31275968,0,0,0,400
35.0,7.0,400,400.0,1000.0,31411608,0,0,0,400
37.0,7.4,400,400.0,1000.0,30856285,0,0,0,400
39.0,7.8,400,400.0,1000.0,29512110,0,0,0,400
41.0,8.2,400,400.0,1000.0,29984860,0,0,0,400
43.0,8.6,400,400.0,1000.0,29379828,0,0,0,400
45.0,9.0,400,400.0,1000.0,29038147,0,0,0,400
47.0,9.400001,400,400.0,1000.0,29147434,0,0,0,400
49.0,9.8,400,400.0,1000.0,29100256,0,0,0,400
51.0,10.2,400,400.0,1000.0,29105723,0,0,0,400
53.0,10.6,400,400.0,1000.0,29161197,0,0,0,400
55.0,11.0,400,400.0,1000.0,29074432,0,0,0,400
57.0,11.400001,400,400.0,1000.0,29164542,0,0,0,400
59.0,11.8,400,400.0,1000.0,29109266,0,0,0,400
61.0,12.2,400,400.0,1000.0,29152791,0,0,0,400
63.0,12.6,400,400.0,1000.0,29198405,0,0,0,400
65.0,13.0,400,400.0,1000.0,29224880,0,0,0,400
67.0,13.400001,400,400.0,1000.0,29153207,0,0,0,400
69.0,13.8,400,400.0,1000.0,29212735,0,0,0,400
71.0,14.2,400,400.0,1000.0,29205749,0,0,0,400
73.0,14.6,400,400.0,1000.0,29165656,0,0,0,400
75.0,15.0,400,400.0,1000.0,29207317,0,0,0,400
15.0,4.5,400,400.0,1000.0,28930209,0,0,0,400
17.0,5.1000004,400,400.0,1000.0,28929075,0,0,0,400
19.0,5.7000003,400,400.0,1000.0,28992212,0,0,0,400
21.0,6.3,400,400.0,1000.0,29021043,0,0,0,400
23.0,6.9,400,400.0,1000.0,28995974,0,0,0,400
25.0,7.5000005,400,400.0,1000.0,29305999,0,0,0,400
27.0,8.1,400,400.0,1000.0,29031759,0,0,0,400
29.0,8.700001,400,400.0,1000.0,29058886,0,0,0,400
31.0,9.3,400,400.0,1000.0,29080481,0,0,0,400
33.0,9.900001,400,400.0,1000.0,29040735,0,0,0,400
35.0,10.5,400,400.0,1000.0,29014692,0,0,0,400
37.0,11.1,400,400.0,1000.0,29032689,0,0,0,400
39.0,11.700001,400,400.0,1000.0,29077859,0,0,0,400
41.0,12.3,400,400.0,1000.0,29039105,0,0,0,400
43.0,12.900001,400,400.0,1000.0,29105163,0,0,0,400
45.0,13.500001,400,400.0,1000.0,29034361,0,0,0,400
47.0,14.1,400,400.0,1000.0,29087164,0,0,0,400
49.0,14.700001,400,400.0,1000.0,29098797,0,0,0,400
51.0,15.3,400,400.0,1000.0,29136676,0,0,0,400
53.0,15.900001,400,400.0,1000.0,29127306,0,0,0,400
55.0,16.5,400,400.0,1000.0,29168470,0,0,0,400
57.0,17.1,400,400.0,1000.0,29158535,0,0,0,400
59.0,17.7,400,400.0,1000.0,29192418,0,0,0,400
61.0,18.300001,400,400.0,1000.0,29188439,0,0,0,400
63.0,18.900002,400,400.0,1000.0,29177015,0,0,0,400
65.0,19.5,400,400.0,1000.0,29191701,0,0,0,400
67.0,20.1,400,400.0,1000.0,29214080,0,0,0,400
69.0,20.7,400,400.0,1000.0,29165717,0,0,0,400
71.0,21.300001,400,400.0,1000.0,29208283,0,0,0,400
73.0,21.900002,400,400.0,1000.0,29240515,0,0,0,400
75.0,22.5,400,400.0,1000.0,29203050,0,0,0,400
15.0,6.0,400,400.0,1000.0,29012110,0,0,0,400
17.0,6.8,400,400.0,1000.0,28996390,0,0,0,400
19.0,7.6,400,400.0,1000.0,28960497,0,0,0,400
21.0,8.400001,400,400.0,1000.0,28951743,0,0,0,400
23.0,9.2,400,400.0,1000.0,28968492,0,0,0,400
25.0,10.0,400,400.0,1000.0,28990604,0,0,0,400
27.0,10.8,400,400.0,1000.0,28996090,0,0,0,400
29.0,11.6,400,400.0,1000.0,28899291,0,0,0,400
31.0,12.400001,400,400.0,1000.0,29124364,0,0,0,400
33.0,13.2,400,400.0,1000.0,29523169,0,0,0,400
35.0,14.0,400,400.0,1000.0,30073682,0,0,0,400
37.0,14.8,400,400.0,1000.0,30272814,0,0,0,400
39.0,15.6,400,400.0,1000.0,30241469,0,0,0,400
41.0,16.4,400,400.0,1000.0,29378028,0,0,0,400
43.0,17.2,400,400.0,1000.0,29178782,0,0,0,400
45.0,18.0,400,400.0,1000.0,29063054,0,0,0,400
47.0,18.800001,400,400.0,1000.0,29011530,0,0,0,400
49.0,19.6,400,400.0,1000.0,29091091,0,0,0,400
51.0,20.4,400,400.0,1000.0,29093217,0,0,0,400
53.0,21.2,400,400.0,1000.0,29104290,0,0,0,400
55.0,22.0,400,400.0,1000.0,29113569,0,0,0,400
57.0,22.800001,400,400.0,1000.0,29284705,0,0,0,400
59.0,23.6,400,400.0,1000.0,29129373,0,0,0,400
61.0,24.4,400,400.0,1000.0,29166896,0,0,0,400
63.0,25.2,400,400.0,1000.0,29163624,0,0,0,400
65.0,26.0,400,400.0,1000.0,29178934,0,0,0,400
67.0,26.800001,400,400.0,1000.0,29155862,0,0,0,400
69.0,27.6,400,400.0,1000.0,29170135,0,0,0,400
71.0,28.4,400,400.0,1000.0,29237871,0,0,0,400
73.0,29.2,400,400.0,1000.0,29248547,0,0,0,400
75.0,30.0,400,400.0,1000.0,29302815,0,0,0,400
15.0,7.5,400,400.0,1000.0,28922943,0,0,0,400
17.0,8.5,400,400.0,1000.0,29001821,0,0,0,400
19.0,9.5,400,400.0,1000.0,29022380,0,0,0,400
21.0,10.5,400,400.0,1000.0,29034897,0,0,0,400
23.0,11.5,400,400.0,1000.0,28997885,0,0,0,400
25.0,12.5,400,400.0,1000.0,29056354,0,0,0,400
27.0,13.5,400,400.0,1000.0,29184507,0,0,0,400
29.0,14.5,400,400.0,1000.0,29129858,0,0,0,400
31.0,15.5,400,400.0,1000.0,29084348,0,0,0,400
33.0,16.5,400,400.0,1000.0,29148194,0,0,0,400
35.0,17.5,400,400.0,1000.0,29042573,0,0,0,400
37.0,18.5,400,400.0,1000.0,29043939,0,0,0,400
39.0,19.5,400,400.0,1000.0,29083470,0,0,0,400
41.0,20.5,400,400.0,1000.0,29157734,0,0,0,400
43.0,21.5,400,400.0,1000.0,29130232,0,0,0,400
45.0,22.5,400,400.0,1000.0,29066462,0,0,0,400
47.0,23.5,400,400.0,1000.0,29156936,0,0,0,400
49.0,24.5,400,400.0,1000.0,29132909,0,0,0,400
51.0,25.5,400,400.0,1000.0,29137020,0,0,0,400
53.0,26.5,400,400.0,1000.0,29186923,0,0,0,400
55.0,27.5,400,400.0,1000.0,29177657,0,0,0,400
57.0,28.5,400,400.0,1000.0,29222798,0,0,0,400
59.0,29.5,400,400.0,1000.0,29170084,0,0,0,400
61.0,30.5,400,400.0,1000.0,29153255,0,0,0,400
63.0,31.5,400,400.0,1000.0,29222732,0,0,0,400
65.0,32.5,400,400.0,1000.0,29196693,0,0,0,400
67.0,33.5,400,400.0,1000.0,29247391,0,0,0,400
69.0,34.5,400,400.0,1000.0,29236681,0,0,0,400
71.0,35.5,400,398.0,1000.0,29289873,0,0,0,400
73.0,36.5,400,398.0,1000.0,29268557,0,0,0,400
75.0,37.5,400,398.0,1000.0,29240668,0,0,0,400
15.0,9.0,400,400.0,1000.0,28966620,0,0,0,400
17.0,10.200001,400,400.0,1000.0,28970832,0,0,0,400
19.0,11.400001,400,400.0,1000.0,29001847,0,0,0,400
21.0,12.6,400,400.0,1000.0,28977241,0,0,0,400
23.0,13.8,400,400.0,1000.0,29028635,0,0,0,400
25.0,15.000001,400,400.0,1000.0,29051573,0,0,0,400
27.0,16.2,400,400.0,1000.0,29103585,0,0,0,400
29.0,17.400002,400,400.0,1000.0,29004742,0,0,0,400
31.0,18.6,400,400.0,1000.0,29111727,0,0,0,400
33.0,19.800001,400,400.0,1000.0,29058470,0,0,0,400
