Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,33015978,0,0,0,400
17.0,1.7,400,400.0,1000.0,30341757,0,0,0,400
19.0,1.9,400,400.0,1000.0,29649784,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,30795034,0,0,0,400
23.0,2.3,400,400.0,1000.0,31317943,0,0,0,400
25.0,2.5,400,400.0,1000.0,31455662,0,0,0,400
27.0,2.7,400,400.0,1000.0,31306915,0,0,0,400
29.0,2.9,400,400.0,1000.0,31411190,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,31412798,0,0,0,400
33.0,3.3,400,400.0,1000.0,31252690,0,0,0,400
35.0,3.5,400,400.0,1000.0,31755126,0,0,0,400
37.0,3.7,400,400.0,1000.0,31247670,0,0,0,400
39.0,3.9,400,400.0,1000.0,31221429,0,0,0,400
41.0,4.1,400,400.0,1000.0,31322220,0,0,0,400
43.0,4.3,400,400.0,1000.0,31485578,0,0,0,400
45.0,4.5,400,400.0,1000.0,31586767,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,31633710,0,0,0,400
49.0,4.9,400,400.0,1000.0,31323223,0,0,0,400
51.0,5.1,400,400.0,1000.0,31514156,0,0,0,400
53.0,5.3,400,400.0,1000.0,31454578,0,0,0,400
55.0,5.5,400,400.0,1000.0,31377408,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,31448137,0,0,0,400
59.0,5.9,400,400.0,1000.0,31776881,0,0,0,400
61.0,6.1,400,400.0,1000.0,31531738,0,0,0,400
63.0,6.3,400,400.0,1000.0,31466702,0,0,0,400
65.0,6.5,400,400.0,1000.0,31541217,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,31733795,0,0,0,400
69.0,6.9,400,400.0,1000.0,31624124,0,0,0,400
71.0,7.1,400,400.0,1000.0,31654236,0,0,0,400
73.0,7.3,400,400.0,1000.0,32287669,0,0,0,400
75.0,7.5,400,400.0,1000.0,31734611,0,0,0,400
15.0,3.0,400,400.0,1000.0,31274373,0,0,0,400
17.0,3.4,400,400.0,1000.0,31292936,0,0,0,400
19.0,3.8,400,400.0,1000.0,31302411,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,32118636,0,0,0,400
23.0,4.6,400,400.0,1000.0,31700978,0,0,0,400
25.0,5.0,400,400.0,1000.0,31241944,0,0,0,400
