Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,460.0,1000.0,34808996,0,0,0,460
17.0,1.7,400,460.0,1000.0,33982660,0,0,0,460
19.0,1.9,400,460.0,1000.0,34066435,0,0,0,460
21.0,2.1000001,400,460.0,1000.0,34153795,0,0,0,460
23.0,2.3,400,460.0,1000.0,34030193,0,0,0,460
25.0,2.5,400,460.0,1000.0,34143464,0,0,0,460
27.0,2.7,400,460.0,1000.0,33901705,0,0,0,460
29.0,2.9,400,460.0,1000.0,34167672,0,0,0,460
31.0,3.1000001,400,460.0,1000.0,34259506,0,0,0,460
33.0,3.3,400,460.0,1000.0,33986392,0,0,0,460
35.0,3.5,400,460.0,1000.0,34099920,0,0,0,460
37.0,3.7,400,460.0,1000.0,34212113,0,0,0,460
39.0,3.9,400,460.0,1000.0,34261365,0,0,0,460
41.0,4.1,400,460.0,1000.0,34243220,0,0,0,460
43.0,4.3,400,460.0,1000.0,34089745,0,0,0,460
45.0,4.5,400,460.0,1000.0,34214965,0,0,0,460
47.0,4.7000003,400,460.0,1000.0,34150364,0,0,0,460
49.0,4.9,400,460.0,1000.0,34136458,0,0,0,460
51.0,5.1,400,460.0,1000.0,34310093,0,0,0,460
53.0,5.3,400,460.0,1000.0,34126938,0,0,0,460
55.0,5.5,400,460.0,1000.0,34470306,0,0,0,460
57.0,5.7000003,400,460.0,1000.0,34318862,0,0,0,460
59.0,5.9,400,460.0,1000.0,34187085,0,0,0,460
61.0,6.1,400,460.0,1000.0,34265955,0,0,0,460
63.0,6.3,400,460.0,1000.0,34329188,0,0,0,460
65.0,6.5,400,460.0,1000.0,34248380,0,0,0,460
67.0,6.7000003,400,460.0,1000.0,34553765,0,0,0,460
69.0,6.9,400,460.0,1000.0,34281932,0,0,0,460
71.0,7.1,400,460.0,1000.0,34585384,0,0,0,460
73.0,7.3,400,460.0,1000.0,34286102,0,0,0,460
75.0,7.5,400,460.0,1000.0,34486974,0,0,0,460
15.0,3.0,400,460.0,1000.0,34033341,0,0,0,460
17.0,3.4,400,460.0,1000.0,34319502,0,0,0,460
19.0,3.8,400,460.0,1000.0,34027494,0,0,0,460
21.0,4.2000003,400,460.0,1000.0,33937386,0,0,0,460
23.0,4.6,400,460.0,1000.0,34802210,0,0,0,460
25.0,5.0,400,460.0,1000.0,37874099,0,0,0,460
27.0,5.4,400,460.0,1000.0,38844066,0,0,0,460
29.0,5.8,400,460.0,1000.0,36925380,0,0,0,460
31.0,6.2000003,400,460.0,1000.0,36569359,0,0,0,460
33.0,6.6,400,460.0,1000.0,36575356,0,0,0,460
35.0,7.0,400,460.0,1000.0,36957587,0,0,0,460
37.0,7.4,400,460.0,1000.0,37600167,0,0,0,460
39.0,7.8,400,460.0,1000.0,37867922,0,0,0,460
41.0,8.2,400,460.0,1000.0,38306869,0,0,0,460
43.0,8.6,400,460.0,1000.0,35643184,0,0,0,460
45.0,9.0,400,460.0,1000.0,35543638,0,0,0,460
47.0,9.400001,400,460.0,1000.0,36453778,0,0,0,460
49.0,9.8,400,460.0,1000.0,36361858,0,0,0,460
51.0,10.2,400,460.0,1000.0,35584099,0,0,0,460
53.0,10.6,400,460.0,1000.0,37308498,0,0,0,460
55.0,11.0,400,460.0,1000.0,36400499,0,0,0,460
57.0,11.400001,400,460.0,1000.0,34729606,0,0,0,460
59.0,11.8,400,460.0,1000.0,34900379,0,0,0,460
61.0,12.2,400,460.0,1000.0,36003618,0,0,0,460
63.0,12.6,400,460.0,1000.0,35127982,0,0,0,460
65.0,13.0,400,460.0,1000.0,34928084,0,0,0,460
67.0,13.400001,400,460.0,1000.0,34616325,0,0,0,460
69.0,13.8,400,460.0,1000.0,34766331,0,0,0,460
71.0,14.2,400,460.0,1000.0,34871843,0,0,0,460
73.0,14.6,400,460.0,1000.0,34799670,0,0,0,460
75.0,15.0,400,460.0,1000.0,34858090,0,0,0,460
15.0,4.5,400,460.0,1000.0,35089307,0,0,0,460
17.0,5.1000004,400,460.0,1000.0,34253252,0,0,0,460
19.0,5.7000003,400,460.0,1000.0,35278654,0,0,0,460
21.0,6.3,400,460.0,1000.0,35556412,0,0,0,460
23.0,6.9,400,460.0,1000.0,34692984,0,0,0,460
25.0,7.5000005,400,460.0,1000.0,34783428,0,0,0,460
27.0,8.1,400,460.0,1000.0,34775939,0,0,0,460
29.0,8.700001,400,460.0,1000.0,34759530,0,0,0,460
31.0,9.3,400,460.0,1000.0,34751229,0,0,0,460
33.0,9.900001,400,460.0,1000.0,34530341,0,0,0,460
35.0,10.5,400,460.0,1000.0,34756074,0,0,0,460
37.0,11.1,400,460.0,1000.0,34691567,0,0,0,460
39.0,11.700001,400,460.0,1000.0,34948664,0,0,0,460
41.0,12.3,400,460.0,1000.0,34550430,0,0,0,460
43.0,12.900001,400,460.0,1000.0,34733351,0,0,0,460
45.0,13.500001,400,460.0,1000.0,35003956,0,0,0,460
47.0,14.1,400,460.0,1000.0,34810140,0,0,0,460
49.0,14.700001,400,460.0,1000.0,34637675,0,0,0,460
51.0,15.3,400,460.0,1000.0,34864412,0,0,0,460
53.0,15.900001,400,460.0,1000.0,34756406,0,0,0,460
55.0,16.5,400,460.0,1000.0,34645558,0,0,0,460
57.0,17.1,400,460.0,1000.0,34892956,0,0,0,460
59.0,17.7,400,460.0,1000.0,35236790,0,0,0,460
61.0,18.300001,400,460.0,1000.0,35150682,0,0,0,460
63.0,18.900002,400,460.0,1000.0,36423675,0,0,0,460
