Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,460.0,1000.0,34708345,0,0,0,460
17.0,1.7,400,460.0,1000.0,33838530,0,0,0,460
19.0,1.9,400,460.0,1000.0,33905846,0,0,0,460
21.0,2.1000001,400,460.0,1000.0,34022906,0,0,0,460
23.0,2.3,400,460.0,1000.0,33879037,0,0,0,460
25.0,2.5,400,460.0,1000.0,33921996,0,0,0,460
27.0,2.7,400,460.0,1000.0,33788250,0,0,0,460
29.0,2.9,400,460.0,1000.0,34067883,0,0,0,460
31.0,3.1000001,400,460.0,1000.0,34114257,0,0,0,460
33.0,3.3,400,460.0,1000.0,33969637,0,0,0,460
35.0,3.5,400,460.0,1000.0,34032993,0,0,0,460
37.0,3.7,400,460.0,1000.0,34113224,0,0,0,460
39.0,3.9,400,460.0,1000.0,34077922,0,0,0,460
41.0,4.1,400,460.0,1000.0,34125592,0,0,0,460
43.0,4.3,400,460.0,1000.0,33892639,0,0,0,460
45.0,4.5,400,460.0,1000.0,34007520,0,0,0,460
47.0,4.7000003,400,460.0,1000.0,34040852,0,0,0,460
49.0,4.9,400,460.0,1000.0,33973620,0,0,0,460
51.0,5.1,400,460.0,1000.0,34218163,0,0,0,460
53.0,5.3,400,460.0,1000.0,34017095,0,0,0,460
55.0,5.5,400,460.0,1000.0,34372542,0,0,0,460
57.0,5.7000003,400,460.0,1000.0,34166672,0,0,0,460
59.0,5.9,400,460.0,1000.0,34127509,0,0,0,460
61.0,6.1,400,460.0,1000.0,34054792,0,0,0,460
63.0,6.3,400,460.0,1000.0,34175421,0,0,0,460
65.0,6.5,400,460.0,1000.0,34102791,0,0,0,460
67.0,6.7000003,400,460.0,1000.0,34417261,0,0,0,460
69.0,6.9,400,460.0,1000.0,34324811,0,0,0,460
71.0,7.1,400,460.0,1000.0,34303955,0,0,0,460
73.0,7.3,400,460.0,1000.0,34167311,0,0,0,460
75.0,7.5,400,460.0,1000.0,34350815,0,0,0,460
15.0,3.0,400,460.0,1000.0,33979192,0,0,0,460
17.0,3.4,400,460.0,1000.0,34145598,0,0,0,460
19.0,3.8,400,460.0,1000.0,33847328,0,0,0,460
21.0,4.2000003,400,460.0,1000.0,33874237,0,0,0,460
23.0,4.6,400,460.0,1000.0,34214111,0,0,0,460
25.0,5.0,400,460.0,1000.0,37255983,0,0,0,460
27.0,5.4,400,460.0,1000.0,38111362,0,0,0,460
29.0,5.8,400,460.0,1000.0,37507794,0,0,0,460
31.0,6.2000003,400,460.0,1000.0,36567335,0,0,0,460
33.0,6.6,400,460.0,1000.0,36520665,0,0,0,460
35.0,7.0,400,460.0,1000.0,36359900,0,0,0,460
37.0,7.4,400,460.0,1000.0,37130704,0,0,0,460
39.0,7.8,400,460.0,1000.0,38157206,0,0,0,460
41.0,8.2,400,460.0,1000.0,38047245,0,0,0,460
43.0,8.6,400,460.0,1000.0,35446529,0,0,0,460
45.0,9.0,400,460.0,1000.0,35523996,0,0,0,460
47.0,9.400001,400,460.0,1000.0,35654205,0,0,0,460
49.0,9.8,400,460.0,1000.0,35926199,0,0,0,460
51.0,10.2,400,460.0,1000.0,35719167,0,0,0,460
53.0,10.6,400,460.0,1000.0,35869256,0,0,0,460
55.0,11.0,400,460.0,1000.0,37188512,0,0,0,460
57.0,11.400001,400,460.0,1000.0,34531108,0,0,0,460
59.0,11.8,400,460.0,1000.0,34605755,0,0,0,460
61.0,12.2,400,460.0,1000.0,35610303,0,0,0,460
63.0,12.6,400,460.0,1000.0,35395265,0,0,0,460
65.0,13.0,400,460.0,1000.0,34701855,0,0,0,460
67.0,13.400001,400,460.0,1000.0,34483111,0,0,0,460
69.0,13.8,400,460.0,1000.0,34662985,0,0,0,460
71.0,14.2,400,460.0,1000.0,34808916,0,0,0,460
73.0,14.6,400,460.0,1000.0,34695778,0,0,0,460
75.0,15.0,400,460.0,1000.0,34668063,0,0,0,460
15.0,4.5,400,460.0,1000.0,34806884,0,0,0,460
17.0,5.1000004,400,460.0,1000.0,34427113,0,0,0,460
19.0,5.7000003,400,460.0,1000.0,34865595,0,0,0,460
21.0,6.3,400,460.0,1000.0,35447156,0,0,0,460
23.0,6.9,400,460.0,1000.0,34458008,0,0,0,460
25.0,7.5000005,400,460.0,1000.0,34517131,0,0,0,460
27.0,8.1,400,460.0,1000.0,34887666,0,0,0,460
29.0,8.700001,400,460.0,1000.0,34698457,0,0,0,460
31.0,9.3,400,460.0,1000.0,34533089,0,0,0,460
