Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,30.0,400,399.085,1000.0,31440615,0,0,0
17.0,34.0,400,398.609,999.897,31329207,1,55066.39081386474,2171
19.0,38.0,400,397.933,999.837,31342629,3,72800.07328151047,2548
21.0,42.0,400,396.619,999.618,31321535,5,75739.02714436862,2369
23.0,46.0,400,394.277,999.365,31238431,8,158968.1736150905,4384
25.0,50.0,400,389.177,997.173,31339065,17,263737.77340494323,6892
27.0,54.0,400,373.676,981.751,31080739,66,238010.1259509881,5665
29.0,58.0,400,327.977,915.654,28995064,213,336741.22333739256,7477
31.0,62.0,400,243.8,764.963,24556667,443,404646.41007509874,8412
33.0,66.0,400,144.542,580.886,19127826,653,413080.66495784384,8065
35.0,70.0,400,79.212,408.247,13785803,823,332306.97000004444,6107
37.0,74.0,400,45.907,302.666,10294439,897,289886.13127742574,5010
39.0,78.0,400,24.407,232.66,8411972,941,265349.8793575321,4337
41.0,82.0,400,19.682,202.888,7403753,956,243825.63662898276,3776
43.0,86.0,400,9.123,154.441,5388864,981,214437.21530491614,3167
45.0,90.0,400,5.002,142.367,4955422,990,213974.94028876594,2987
47.0,94.0,400,5.419,123.064,4281650,989,199922.5182167808,2667
49.0,98.0,400,1.622,95.08,3392043,999,172565.66239274622,2203
51.0,102.0,400,1.579,90.87,3432683,998,168525.33389735574,2051
53.0,106.0,400,1.892,76.616,2751604,998,156790.3859338037,1837
55.0,110.0,400,1.059,72.293,2781261,1000,154225.42755340578,1728
57.0,114.0,400,1.445,64.25,2502154,999,142401.08611210217,1532
59.0,118.0,400,1.018,56.601,2087874,1000,135430.84487901392,1400
61.0,122.0,400,1.019,47.71,1767632,1000,119573.1316776282,1188
63.0,126.0,400,1.011,46.605,1546901,1000,127080.83269645428,1227
65.0,130.0,400,1.004,44.897,1453589,1000,131639.13575319786,1221
67.0,134.0,400,1.016,36.586,1188270,1000,107949.11559440788,969
69.0,138.0,400,1.001,35.332,1119106,1000,118064.01378389912,1022
71.0,142.0,400,1.001,33.287,1059765,1000,118029.64871080701,990
73.0,146.0,400,1.001,30.252,962065,1000,117393.6987122368,956
75.0,150.0,400,1.001,31.58,999447,1000,122745.83863723067,969
