Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,30.0,400,400.0,1000.0,29996721,0,0,0
16.0,32.0,400,400.0,1000.0,29292286,0,0,0
17.0,34.0,400,400.0,1000.0,30238490,0,0,0
18.0,36.0,400,398.0,997.801,29653046,58,35.35533905932742,1
19.0,38.0,400,398.0,996.525,29692779,88,35.35533905932743,1
20.0,40.0,400,398.0,996.912,29608499,77,35.35533905932742,1
21.0,42.0,400,398.0,996.625,28721900,83,35.35533905932742,1
22.0,44.0,400,398.0,996.266,28486746,88,35.35533905932743,1
23.0,46.0,400,398.0,996.354,28864500,85,35.35533905932742,1
24.0,48.0,400,398.0,995.467,28468886,107,35.35533905932743,1
25.0,50.0,400,398.0,995.017,28900268,113,35.35533905932743,1
26.0,52.0,400,1.0,4.801,199024,1000,1220.4553390593499,24
27.0,54.0,400,1.0,4.192,183375,1000,1218.352826432765,24
28.0,56.0,400,1.0,3.188,160295,1000,1230.9088924499433,24
29.0,58.0,400,1.0,2.678,138786,1000,1220.5174710937058,24
30.0,60.0,400,1.0,2.058,118388,1000,1216.402826432765,24
31.0,62.0,400,1.0,1.634,104648,1000,1223.902826432765,24
32.0,64.0,400,1.0,1.37,99111,1000,1210.7553390593494,24
33.0,66.0,400,1.0,1.161,90334,1000,1220.2296031280614,24
34.0,68.0,400,1.0,1.051,85936,1000,1207.1053390593497,24
35.0,70.0,400,1.0,1.0,82486,1000,1223.4588924499428,24
36.0,72.0,400,1.0,1.0,84701,1000,1178.9360726857462,21
37.0,74.0,400,1.0,1.0,79634,1000,1211.7961231920865,22
38.0,76.0,400,1.0,1.0,81225,1000,1271.679710809285,23
39.0,78.0,400,1.0,1.0,85884,1000,1324.4531433180925,24
40.0,80.0,400,1.0,1.0,84818,1000,1359.8998063929375,23
41.0,82.0,400,1.0,1.0,83903,1000,1428.3057090263355,25
42.0,84.0,400,1.0,1.0,82760,1000,1468.9704656509043,25
43.0,86.0,400,1.0,1.0,92306,1000,1525.3641012406374,26
44.0,88.0,400,1.0,1.0,90890,1000,1560.3785144723022,27
45.0,90.0,400,1.0,1.0,93002,1000,1619.6942652783575,28
46.0,92.0,400,1.0,1.0,89597,1000,1669.4114978423668,29
47.0,94.0,400,1.0,1.0,84886,1000,1728.7912165495254,30
48.0,96.0,400,1.0,1.0,83424,1000,1756.6642650334365,30
49.0,98.0,400,1.0,1.0,89595,1000,1816.46950744282,31
50.0,100.0,400,1.0,1.0,91652,1000,1831.353067808309,32
51.0,102.0,400,1.0,1.0,92020,1000,1922.532934065673,22
52.0,104.0,400,1.0,1.0,95956,1000,1959.1249351712459,22
53.0,106.0,400,1.0,1.0,90571,1000,2000.6924832547065,22
54.0,108.0,400,1.0,1.0,92190,1000,2024.8897995222062,22
55.0,110.0,400,1.0,1.0,95642,1000,2076.1577454026096,22
56.0,112.0,400,1.0,1.0,92718,1000,2053.7450954319843,19
57.0,114.0,400,1.0,1.0,95476,1000,2094.8313271087777,20
58.0,116.0,400,1.0,1.0,96145,1000,2129.11199895566,20
59.0,118.0,400,1.0,1.0,89746,1000,2188.294016699647,21
60.0,120.0,400,1.0,1.0,95022,1000,2213.9954930597705,21
61.0,122.0,400,1.0,1.0,94127,1000,2275.9146490125163,21
62.0,124.0,400,1.0,1.0,85692,1000,2318.9130313070536,22
63.0,126.0,400,1.0,1.0,87792,1000,2335.511661212487,22
64.0,128.0,400,1.0,1.0,91824,1000,2405.4862869456497,23
65.0,130.0,400,1.0,1.0,103706,1000,2418.0835646324576,23
66.0,132.0,400,1.0,1.0,91205,1000,2450.829794625593,23
67.0,134.0,400,1.0,1.0,93595,1000,2506.8112157790974,24
68.0,136.0,400,1.0,1.0,95575,1000,2566.5865292924314,24
69.0,138.0,400,1.0,1.0,95558,1000,2597.9884221440543,25
70.0,140.0,400,1.0,1.0,84723,1000,2626.3599673104122,25
71.0,142.0,400,1.0,1.0,97989,1000,2791.3998636462898,25
72.0,144.0,400,1.0,1.0,91357,1000,2827.8082171961696,26
73.0,146.0,400,1.0,1.0,95202,1000,2868.1803762134214,26
74.0,148.0,400,1.0,1.0,91629,1000,2897.160472859352,26
75.0,150.0,400,1.0,1.0,97782,1000,3452.2296635972593,31
76.0,152.0,400,1.0,1.0,94426,1000,3725.6905962987853,26
77.0,154.0,400,1.0,1.0,91786,1000,3896.6940223906895,27
78.0,156.0,400,1.0,1.0,93271,1000,4078.5375599494646,28
79.0,158.0,400,1.0,1.0,97468,1000,4248.0563332077045,30
80.0,160.0,400,1.0,1.0,98508,1000,4188.61682416825,29
81.0,162.0,400,1.0,1.0,97135,1000,4368.327350026486,30
82.0,164.0,400,1.0,1.0,82473,1000,4466.562526868472,31
83.0,166.0,400,1.0,1.0,85339,1000,4595.863104761856,31
84.0,168.0,400,1.0,1.0,80575,1000,4689.843759550341,32
85.0,170.0,400,1.0,1.0,81007,1000,4843.5583383015,33
86.0,172.0,400,1.0,1.0,82853,1000,4926.154148867938,34
87.0,174.0,400,1.0,1.0,86716,1000,5058.355234769456,35
88.0,176.0,400,1.0,1.0,83243,1000,5134.813122140037,35
89.0,178.0,400,1.0,1.0,82411,1000,5245.17740825076,35
90.0,180.0,400,1.0,1.0,80579,1000,5357.765392434214,35
