Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,30.0,400,400.0,1000.0,29942697,0,0,0
16.0,32.0,400,400.0,1000.0,29177259,0,0,0
17.0,34.0,400,400.0,1000.0,29994004,0,0,0
18.0,36.0,400,398.0,1000.0,29516436,0,0,0
19.0,38.0,400,398.0,1000.0,29214722,0,0,0
20.0,40.0,400,398.0,1000.0,29256565,0,0,0
21.0,42.0,400,398.0,1000.0,28940370,0,0,0
22.0,44.0,400,398.0,1000.0,28583970,0,0,0
23.0,46.0,400,398.0,1000.0,28934104,0,0,0
24.0,48.0,400,398.0,1000.0,28489463,0,0,0
25.0,50.0,400,398.0,1000.0,28963879,0,0,0
26.0,52.0,400,1.0,103.769,3302601,1000,3492.019570568515,70
27.0,54.0,400,1.0,100.602,3226693,1000,3490.7524132809913,70
28.0,56.0,400,1.0,97.208,3249962,1000,3508.5317026028697,71
29.0,58.0,400,1.0,94.362,3013368,1000,3541.3120326887615,71
30.0,60.0,400,1.0,91.276,2930681,1000,3529.2095200621757,71
31.0,62.0,400,1.0,88.082,2850819,1000,3555.7095200621775,72
32.0,64.0,400,1.0,83.887,2698853,1000,3574.868098705939,72
33.0,66.0,400,1.0,81.205,2608464,1000,3564.5570074355905,72
34.0,68.0,400,1.0,79.855,2544411,1000,3569.7741647231205,72
35.0,70.0,400,1.0,76.093,2446738,1000,3564.3155860793536,72
36.0,72.0,400,1.0,73.061,2399012,1000,3206.5339360416583,58
37.0,74.0,400,1.0,71.129,2334009,1000,3195.429625055981,58
38.0,76.0,400,1.0,66.581,2277547,1000,3201.90016985758,58
39.0,78.0,400,1.0,63.38,2166647,1000,3202.665676715656,58
40.0,80.0,400,1.0,60.742,2178535,1000,3220.5161882477346,56
41.0,82.0,400,1.0,58.323,2059890,1000,3199.4864569808046,55
42.0,84.0,400,1.0,55.552,1934264,1000,3211.046709820835,56
43.0,86.0,400,1.0,52.036,1756017,1000,3225.2655010019766,56
44.0,88.0,400,1.0,48.993,1657820,1000,3239.270263828077,56
45.0,90.0,400,1.0,45.305,1581091,1000,3229.735079824905,56
46.0,92.0,400,1.0,42.699,1492704,1000,3235.6413175385364,56
47.0,94.0,400,1.0,39.951,1428839,1000,3250.3912604701077,57
48.0,96.0,400,1.0,37.11,1358755,1000,3241.9469391762514,56
49.0,98.0,400,1.0,33.932,1225389,1000,3260.2300618027207,57
50.0,100.0,400,1.0,31.83,1145186,1000,3258.756269365185,56
51.0,102.0,400,1.0,30.076,1079990,1000,3275.4703595787173,38
52.0,104.0,400,1.0,28.787,1035376,1000,3275.7269279948873,38
53.0,106.0,400,1.0,26.835,1011223,1000,3269.1410169344817,37
54.0,108.0,400,1.0,25.088,921482,1000,3291.7641729148113,36
55.0,110.0,400,1.0,22.827,844904,1000,3290.9004650063607,36
56.0,112.0,400,1.0,21.579,788951,1000,3165.6003397334416,30
57.0,114.0,400,1.0,19.783,715107,1000,3172.462037917104,30
58.0,116.0,400,1.0,18.924,679975,1000,3182.644943963391,31
59.0,118.0,400,1.0,17.611,641784,1000,3187.384421236948,31
60.0,120.0,400,1.0,16.493,613177,1000,3162.264855604594,30
61.0,122.0,400,1.0,14.716,556965,1000,3181.1410822342236,30
62.0,124.0,400,1.0,13.815,542860,1000,3209.2176552009387,31
63.0,126.0,400,1.0,12.294,480349,1000,3212.588139109825,31
64.0,128.0,400,1.0,10.73,398764,1000,3186.6478536959667,30
65.0,130.0,400,1.0,9.729,367653,1000,3220.703900016656,30
66.0,132.0,400,1.0,8.706,359186,1000,3205.774055827314,30
67.0,134.0,400,1.0,8.067,337258,1000,3216.1945744313857,30
68.0,136.0,400,1.0,7.242,301726,1000,3222.3224084689355,30
69.0,138.0,400,1.0,6.45,276121,1000,3239.944550550682,31
70.0,140.0,400,1.0,5.655,257408,1000,3225.1673794534076,30
71.0,142.0,400,1.0,4.575,227265,1000,3362.7364138494995,30
72.0,144.0,400,1.0,4.09,208412,1000,3403.4607725278024,31
73.0,146.0,400,1.0,3.918,197440,1000,3338.0082381092097,30
74.0,148.0,400,1.0,2.974,158808,1000,3853.585457737721,35
75.0,150.0,400,1.0,2.609,146609,1000,4500.517775918566,41
76.0,152.0,400,1.0,2.31,126478,1000,4821.597621192875,34
77.0,154.0,400,1.0,2.101,117455,1000,5019.952634081655,35
78.0,156.0,400,1.0,2.028,113088,1000,5163.551637871076,36
79.0,158.0,400,1.0,2.0,112870,1000,5420.54565836713,38
80.0,160.0,400,1.0,2.0,109682,1000,5427.492283680531,37
81.0,162.0,400,1.0,2.0,111728,1000,5684.63148041171,39
82.0,164.0,400,1.0,2.0,115870,1000,5955.308040679565,41
83.0,166.0,400,1.0,2.0,114332,1000,6333.221660712727,44
84.0,168.0,400,1.0,2.0,110809,1000,6538.524068136521,45
85.0,170.0,400,1.0,2.0,109991,1000,6740.032572966393,46
86.0,172.0,400,1.0,2.0,92824,1000,6968.293351044733,48
87.0,174.0,400,1.0,2.0,92337,1000,7148.001864202861,49
88.0,176.0,400,1.0,2.0,91953,1000,7311.521760238154,50
89.0,178.0,400,1.0,2.0,92110,1000,7547.886264432717,50
90.0,180.0,400,1.0,2.0,91683,1000,7751.258099741293,52
