Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,30.0,400,400.0,1000.0,29976635,0,0,0
16.0,32.0,400,400.0,1000.0,29174767,0,0,0
17.0,34.0,400,400.0,1000.0,30101251,0,0,0
18.0,36.0,400,398.0,1000.0,29583559,0,0,0
19.0,38.0,400,398.0,1000.0,29432693,0,0,0
20.0,40.0,400,398.0,1000.0,29555721,0,0,0
21.0,42.0,400,398.0,1000.0,28807604,0,0,0
22.0,44.0,400,398.0,1000.0,28507240,0,0,0
23.0,46.0,400,398.0,1000.0,28931353,0,0,0
24.0,48.0,400,398.0,1000.0,28570407,0,0,0
25.0,50.0,400,398.0,1000.0,28921540,0,0,0
26.0,52.0,400,1.0,1000.0,33224581,0,0,0
27.0,54.0,400,1.0,1000.0,32724861,0,0,0
28.0,56.0,400,1.0,1000.0,32820935,0,0,0
29.0,58.0,400,1.0,1000.0,33345606,0,0,0
30.0,60.0,400,1.0,1000.0,35458839,0,0,0
31.0,62.0,400,1.0,1000.0,34722013,0,0,0
32.0,64.0,400,1.0,1000.0,35847759,0,0,0
33.0,66.0,400,1.0,1000.0,35609795,0,0,0
34.0,68.0,400,1.0,1000.0,35632139,0,0,0
35.0,70.0,400,1.0,1000.0,34454378,0,0,0
36.0,72.0,400,1.0,1000.0,35737509,0,0,0
37.0,74.0,400,1.0,1000.0,34793630,0,0,0
38.0,76.0,400,1.0,1000.0,35549750,0,0,0
39.0,78.0,400,1.0,1000.0,35673872,0,0,0
40.0,80.0,400,1.0,1000.0,34125436,0,0,0
41.0,82.0,400,1.0,1000.0,32400092,0,0,0
42.0,84.0,400,1.0,1000.0,32457121,0,0,0
43.0,86.0,400,1.0,1000.0,28791228,0,0,0
44.0,88.0,400,1.0,1000.0,28125756,0,0,0
45.0,90.0,400,1.0,1000.0,27931392,0,0,0
46.0,92.0,400,1.0,1000.0,27980129,0,0,0
47.0,94.0,400,1.0,1000.0,28029388,0,0,0
48.0,96.0,400,1.0,1000.0,28075274,0,0,0
49.0,98.0,400,1.0,1000.0,28335762,0,0,0
50.0,100.0,400,1.0,83.027,2323777,944,144654.62327418706,2368
51.0,102.0,400,1.0,60.534,1683876,967,108984.97480132575,1333
52.0,104.0,400,1.0,48.56,1362790,978,90965.34663748437,1101
53.0,106.0,400,1.0,31.2,893463,994,64648.538647521826,760
54.0,108.0,400,1.0,30.193,871607,994,62778.82053142612,711
55.0,110.0,400,1.0,26.688,780093,996,56567.474447136075,639
56.0,112.0,400,1.0,21.991,638075,1000,46854.88185860578,451
57.0,114.0,400,1.0,20.352,599498,1000,43585.488732816666,419
58.0,116.0,400,1.0,18.555,550687,1000,39931.42875790441,385
59.0,118.0,400,1.0,17.284,512398,1000,37289.54437080323,359
60.0,120.0,400,1.0,15.901,487569,1000,34615.12753616461,333
61.0,122.0,400,1.0,14.055,425025,1000,30857.315752273043,297
62.0,124.0,400,1.0,13.283,408378,1000,29339.03063064854,282
63.0,126.0,400,1.0,11.802,361519,1000,26257.514657272815,252
64.0,128.0,400,1.0,12.036,366684,1000,26531.17122031555,254
65.0,130.0,400,1.0,10.057,323524,1000,22687.107572800687,217
66.0,132.0,400,1.0,8.78,278279,1000,20193.60723202723,193
67.0,134.0,400,1.0,7.926,254745,1000,18404.982371382604,176
68.0,136.0,400,1.0,7.12,231704,1000,16823.148833093976,161
69.0,138.0,400,1.0,6.398,212067,1000,15336.071714887805,146
70.0,140.0,400,1.0,5.456,186758,1000,13419.175897632624,128
71.0,142.0,400,1.0,4.848,166940,1000,12695.2208030144,115
72.0,144.0,400,1.0,4.311,152577,1000,11522.96531570978,105
73.0,146.0,400,1.0,3.358,125795,1000,9519.753932193355,87
74.0,148.0,400,1.0,3.26,125275,1000,9795.854390119479,89
75.0,150.0,400,1.0,2.508,101686,1000,8748.877676843274,80
76.0,152.0,400,1.0,2.275,95613,1000,8607.102982189506,61
77.0,154.0,400,1.0,2.12,92443,1000,8480.011499309654,60
78.0,156.0,400,1.0,2.012,87866,1000,8390.99726128999,59
79.0,158.0,400,1.0,2.0,87986,1000,8630.02538537869,61
80.0,160.0,400,1.0,2.0,89830,1000,8518.010057036949,59
81.0,162.0,400,1.0,2.0,88527,1000,8876.817951807567,61
82.0,164.0,400,1.0,2.0,88005,1000,9112.15603724001,63
83.0,166.0,400,1.0,2.0,88132,1000,9311.570049765642,64
84.0,168.0,400,1.0,2.0,87991,1000,9534.32809660423,66
85.0,170.0,400,1.0,2.0,87702,1000,9763.351955532395,67
86.0,172.0,400,1.0,2.0,88226,1000,10022.705105197476,69
87.0,174.0,400,1.0,2.0,89430,1000,10161.613478633008,70
88.0,176.0,400,1.0,2.0,88672,1000,10424.096463728312,72
89.0,178.0,400,1.0,2.0,89228,1000,10610.49322610378,71
90.0,180.0,400,1.0,2.0,88438,1000,10798.846634206491,72
