Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
15.0,400,398.172,996.955,6,0
17.0,400,397.004,992.918,14,0
19.0,400,395.316,984.453,31,0
21.0,400,391.758,974.43,50,0
23.0,400,384.783,936.189,121,0
25.0,400,369.622,890.773,201,0
27.0,400,329.583,767.784,390,0
29.0,400,254.532,577.616,645,0
31.0,400,146.435,343.72,864,0
33.0,400,69.282,188.559,956,0
35.0,400,28.566,122.819,985,0
37.0,400,11.145,96.17,997,0
39.0,400,5.38,78.186,999,0
41.0,400,2.777,68.098,1000,0
43.0,400,1.424,58.682,1000,0
45.0,400,0.889,52.386,1000,0
47.0,400,0.543,47.989,1000,0
49.0,400,0.294,45.101,1000,0
51.0,400,0.158,38.665,1000,0
53.0,400,0.138,35.96,1000,0
55.0,400,0.05,32.349,1000,0
57.0,400,0.063,30.986,1000,0
59.0,400,0.015,28.028,1000,0
61.0,400,0.016,23.186,1000,0
63.0,400,0.014,20.026,1000,0
65.0,400,0.02,18.705,1000,0
67.0,400,0.0030,17.593,1000,0
69.0,400,0.0010,16.357,1000,0
71.0,400,0.0,13.981,1000,0
73.0,400,0.0,12.369,1000,0
75.0,400,0.0,11.704,1000,0
15.0,400,397.955,996.014,9,50
17.0,400,396.906,991.133,19,50
19.0,400,395.4,990.445,21,50
21.0,400,391.556,982.067,40,50
23.0,400,385.472,950.637,102,50
25.0,400,370.656,905.374,188,50
27.0,400,332.156,781.343,390,50
29.0,400,248.854,575.846,657,50
31.0,400,149.866,371.227,832,50
33.0,400,70.191,212.964,948,50
35.0,400,25.914,119.822,992,50
37.0,400,12.101,91.502,997,50
39.0,400,6.504,78.139,996,50
41.0,400,2.661,68.115,1000,50
43.0,400,1.571,60.637,1000,50
45.0,400,0.901,51.771,1000,50
47.0,400,0.47,46.85,1000,50
49.0,400,0.281,41.894,1000,50
51.0,400,0.183,40.345,1000,50
53.0,400,0.106,35.311,1000,50
55.0,400,0.044,30.841,1000,50
57.0,400,0.028,27.697,1000,50
59.0,400,0.021,27.709,1000,50
61.0,400,0.02,25.161,1000,50
63.0,400,0.0060,21.801,1000,50
65.0,400,0.0050,19.541,1000,50
67.0,400,0.0050,18.295,1000,50
69.0,400,0.0030,14.244,1000,50
71.0,400,0.0,14.091,1000,50
73.0,400,0.0010,12.696,1000,50
75.0,400,0.0,12.039,1000,50
15.0,400,398.11,997.635,6,100
17.0,400,396.942,991.515,21,100
19.0,400,395.183,991.498,21,100
21.0,400,391.89,984.053,37,100
23.0,400,385.454,950.225,120,100
25.0,400,368.369,896.814,228,100
27.0,400,331.97,790.925,393,100
29.0,400,252.077,598.99,639,100
31.0,400,150.642,372.712,860,100
33.0,400,70.479,205.048,954,100
35.0,400,29.049,131.298,987,100
37.0,400,11.734,92.921,996,100
39.0,400,5.52,74.696,1000,100
41.0,400,2.978,70.732,999,100
43.0,400,1.35,60.813,1000,100
45.0,400,1.161,56.245,999,100
47.0,400,0.492,49.872,1000,100
49.0,400,0.239,43.117,1000,100
51.0,400,0.139,42.009,1000,100
53.0,400,0.093,35.564,1000,100
55.0,400,0.089,34.609,1000,100
57.0,400,0.046,30.379,1000,100
59.0,400,0.021,27.888,1000,100
61.0,400,0.011,25.513,1000,100
63.0,400,0.0090,22.876,1000,100
65.0,400,0.0050,20.897,1000,100
67.0,400,0.0040,18.705,1000,100
69.0,400,0.0010,15.684,1000,100
71.0,400,0.0,15.645,1000,100
