Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
15.0,400,398.039,1000.0,0,0
17.0,400,397.047,998.516,3,0
19.0,400,394.803,998.198,4,0
21.0,400,391.706,993.184,13,0
23.0,400,385.312,985.118,30,0
25.0,400,369.137,972.308,55,0
27.0,400,325.797,908.675,177,0
29.0,400,254.81,756.296,420,0
31.0,400,143.257,578.066,680,0
33.0,400,63.885,405.964,864,0
35.0,400,26.488,296.612,943,0
37.0,400,11.284,238.499,981,0
39.0,400,6.367,194.75,987,0
41.0,400,3.238,176.339,995,0
43.0,400,1.419,148.098,996,0
45.0,400,0.854,124.831,1000,0
47.0,400,0.596,114.599,1000,0
49.0,400,0.281,102.179,1000,0
51.0,400,0.198,88.899,999,0
53.0,400,0.109,77.061,1000,0
55.0,400,0.065,68.482,1000,0
57.0,400,0.047,56.644,1000,0
59.0,400,0.013,58.452,1000,0
61.0,400,0.012,57.099,1000,0
63.0,400,0.0090,50.122,1000,0
65.0,400,0.0040,42.907,1000,0
67.0,400,0.0070,41.625,1000,0
69.0,400,0.0010,39.787,1000,0
71.0,400,0.0,32.469,1000,0
73.0,400,0.0,30.443,1000,0
75.0,400,0.0,27.986,1000,0
15.0,400,398.145,999.585,1,50
17.0,400,396.867,999.09,2,50
19.0,400,395.366,997.745,5,50
21.0,400,391.072,992.944,15,50
23.0,400,384.481,982.341,37,50
25.0,400,368.132,963.411,78,50
27.0,400,330.26,904.432,184,50
29.0,400,250.51,762.592,417,50
31.0,400,146.511,567.921,690,50
33.0,400,66.224,403.732,875,50
35.0,400,27.483,301.49,953,50
37.0,400,12.427,256.998,973,50
39.0,400,4.961,210.401,990,50
41.0,400,2.89,165.609,995,50
43.0,400,1.533,150.691,998,50
45.0,400,0.837,117.497,999,50
47.0,400,0.51,113.235,999,50
49.0,400,0.284,95.599,1000,50
51.0,400,0.165,86.163,1000,50
53.0,400,0.059,78.685,1000,50
55.0,400,0.052,72.479,1000,50
57.0,400,0.047,60.663,1000,50
59.0,400,0.026,57.408,1000,50
61.0,400,0.01,53.911,1000,50
63.0,400,0.012,43.303,1000,50
65.0,400,0.0060,42.57,1000,50
67.0,400,0.0040,38.151,1000,50
69.0,400,0.0010,36.684,1000,50
71.0,400,0.0,32.934,1000,50
73.0,400,0.0,32.872,1000,50
75.0,400,0.0,26.285,1000,50
15.0,400,398.082,1000.0,0,100
17.0,400,396.965,999.258,2,100
19.0,400,395.1,998.05,5,100
21.0,400,391.64,995.339,12,100
23.0,400,384.597,992.562,19,100
25.0,400,367.995,965.292,81,100
27.0,400,326.417,914.566,186,100
29.0,400,254.708,779.95,420,100
31.0,400,150.48,586.674,676,100
33.0,400,70.222,428.606,858,100
35.0,400,26.679,304.064,953,100
37.0,400,12.393,241.262,978,100
39.0,400,5.587,191.912,990,100
41.0,400,3.094,168.356,994,100
