Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
15.0,400,397.986,977.564,43,0
17.0,400,396.974,968.975,59,0
19.0,400,395.242,955.17,84,0
21.0,400,391.665,934.004,122,0
23.0,400,383.802,897.188,177,0
25.0,400,367.02,832.623,275,0
27.0,400,328.185,696.667,465,0
29.0,400,250.001,480.802,707,0
31.0,400,146.532,269.497,868,0
33.0,400,67.566,122.984,961,0
35.0,400,28.777,60.351,990,0
37.0,400,11.927,35.703,998,0
39.0,400,5.613,20.679,999,0
41.0,400,3.225,17.239,999,0
43.0,400,1.626,12.462,1000,0
45.0,400,0.888,10.544,1000,0
47.0,400,0.568,9.202,1000,0
49.0,400,0.258,6.524,1000,0
51.0,400,0.18,6.035,1000,0
53.0,400,0.093,5.019,1000,0
55.0,400,0.074,4.445,1000,0
57.0,400,0.045,4.897,1000,0
59.0,400,0.019,3.684,1000,0
61.0,400,0.016,2.91,1000,0
63.0,400,0.0040,2.483,1000,0
65.0,400,0.0060,2.649,1000,0
67.0,400,0.0030,2.329,1000,0
69.0,400,0.0040,2.822,1000,0
71.0,400,0.0,2.06,1000,0
73.0,400,0.0,1.677,1000,0
75.0,400,0.0,1.993,1000,0
15.0,400,398.043,985.262,31,50
17.0,400,396.893,974.63,54,50
19.0,400,395.137,961.576,81,50
21.0,400,392.129,942.11,119,50
23.0,400,384.744,910.572,178,50
25.0,400,368.133,836.391,294,50
27.0,400,334.051,737.138,436,50
29.0,400,250.516,506.528,688,50
31.0,400,142.691,256.199,889,50
33.0,400,66.547,125.003,961,50
35.0,400,25.798,55.635,993,50
37.0,400,12.866,34.42,999,50
39.0,400,6.802,26.698,997,50
41.0,400,3.32,19.566,999,50
43.0,400,1.98,12.926,999,50
45.0,400,0.829,9.61,1000,50
47.0,400,0.557,8.6,1000,50
49.0,400,0.284,7.578,1000,50
51.0,400,0.154,5.888,1000,50
53.0,400,0.126,5.883,1000,50
55.0,400,0.095,5.65,1000,50
57.0,400,0.045,3.653,1000,50
59.0,400,0.017,4.584,1000,50
61.0,400,0.0070,3.17,1000,50
63.0,400,0.012,2.888,1000,50
65.0,400,0.0080,3.029,1000,50
67.0,400,0.0010,2.373,1000,50
69.0,400,0.0010,2.232,1000,50
71.0,400,0.0030,2.127,1000,50
73.0,400,0.0010,2.391,1000,50
75.0,400,0.0,1.561,1000,50
15.0,400,397.959,983.265,40,100
