Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,30275557,0,0,0,400
17.0,1.7,400,400.0,1000.0,29941571,0,0,0,400
19.0,1.9,400,400.0,1000.0,29947818,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,29907226,0,0,0,400
23.0,2.3,400,400.0,1000.0,29951405,0,0,0,400
25.0,2.5,400,400.0,1000.0,29941516,0,0,0,400
27.0,2.7,400,400.0,1000.0,30459049,0,0,0,400
29.0,2.9,400,400.0,1000.0,30108473,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,30017505,0,0,0,400
33.0,3.3,400,400.0,1000.0,30004790,0,0,0,400
35.0,3.5,400,400.0,1000.0,30135499,0,0,0,400
37.0,3.7,400,400.0,1000.0,30000047,0,0,0,400
39.0,3.9,400,400.0,1000.0,30135693,0,0,0,400
41.0,4.1,400,400.0,1000.0,30061874,0,0,0,400
43.0,4.3,400,400.0,1000.0,30055917,0,0,0,400
45.0,4.5,400,400.0,1000.0,30050932,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,30086252,0,0,0,400
49.0,4.9,400,400.0,1000.0,30082732,0,0,0,400
51.0,5.1,400,400.0,1000.0,30053932,0,0,0,400
53.0,5.3,400,400.0,1000.0,30112950,0,0,0,400
55.0,5.5,400,400.0,1000.0,30160839,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,30207429,0,0,0,400
59.0,5.9,400,400.0,1000.0,30126484,0,0,0,400
61.0,6.1,400,400.0,1000.0,30219433,0,0,0,400
63.0,6.3,400,400.0,1000.0,30168566,0,0,0,400
65.0,6.5,400,400.0,1000.0,30295636,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,30650732,0,0,0,400
69.0,6.9,400,400.0,1000.0,30286205,0,0,0,400
71.0,7.1,400,400.0,1000.0,30277797,0,0,0,400
73.0,7.3,400,400.0,1000.0,30264419,0,0,0,400
75.0,7.5,400,400.0,1000.0,30392684,0,0,0,400
15.0,3.0,400,400.0,1000.0,29995808,0,0,0,400
17.0,3.4,400,400.0,1000.0,30031060,0,0,0,400
19.0,3.8,400,400.0,1000.0,29970006,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,30060818,0,0,0,400
23.0,4.6,400,400.0,1000.0,30047894,0,0,0,400
25.0,5.0,400,400.0,1000.0,30045737,0,0,0,400
27.0,5.4,400,400.0,1000.0,29963360,0,0,0,400
29.0,5.8,400,400.0,1000.0,29993803,0,0,0,400
31.0,6.2000003,400,400.0,1000.0,30035190,0,0,0,400
33.0,6.6,400,400.0,1000.0,30053108,0,0,0,400
35.0,7.0,400,400.0,1000.0,30029537,0,0,0,400
37.0,7.4,400,400.0,1000.0,30061844,0,0,0,400
39.0,7.8,400,400.0,1000.0,30044281,0,0,0,400
41.0,8.2,400,400.0,1000.0,30086320,0,0,0,400
43.0,8.6,400,400.0,1000.0,30092998,0,0,0,400
45.0,9.0,400,400.0,1000.0,30041625,0,0,0,400
47.0,9.400001,400,400.0,1000.0,30115745,0,0,0,400
49.0,9.8,400,400.0,1000.0,30257603,0,0,0,400
51.0,10.2,400,400.0,1000.0,30143826,0,0,0,400
53.0,10.6,400,400.0,1000.0,30235480,0,0,0,400
55.0,11.0,400,400.0,1000.0,30163022,0,0,0,400
57.0,11.400001,400,400.0,1000.0,30174876,0,0,0,400
59.0,11.8,400,400.0,1000.0,30220253,0,0,0,400
61.0,12.2,400,400.0,1000.0,30182279,0,0,0,400
63.0,12.6,400,400.0,1000.0,30258456,0,0,0,400
65.0,13.0,400,400.0,1000.0,30366489,0,0,0,400
67.0,13.400001,400,400.0,1000.0,30244916,0,0,0,400
69.0,13.8,400,400.0,1000.0,30304605,0,0,0,400
71.0,14.2,400,400.0,1000.0,30270016,0,0,0,400
73.0,14.6,400,400.0,1000.0,30381335,0,0,0,400
75.0,15.0,400,400.0,1000.0,30272078,0,0,0,400
15.0,4.5,400,400.0,1000.0,29968328,0,0,0,400
17.0,5.1000004,400,400.0,1000.0,30040360,0,0,0,400
19.0,5.7000003,400,400.0,1000.0,30025938,0,0,0,400
21.0,6.3,400,400.0,1000.0,30190001,0,0,0,400
23.0,6.9,400,400.0,1000.0,30021134,0,0,0,400
25.0,7.5000005,400,400.0,1000.0,30078592,0,0,0,400
27.0,8.1,400,400.0,1000.0,30121949,0,0,0,400
29.0,8.700001,400,400.0,1000.0,30043540,0,0,0,400
31.0,9.3,400,400.0,1000.0,30136298,0,0,0,400
33.0,9.900001,400,400.0,1000.0,30099193,0,0,0,400
35.0,10.5,400,400.0,1000.0,30142624,0,0,0,400
37.0,11.1,400,400.0,1000.0,30163925,0,0,0,400
39.0,11.700001,400,400.0,1000.0,30110435,0,0,0,400
41.0,12.3,400,400.0,1000.0,30100893,0,0,0,400
43.0,12.900001,400,400.0,1000.0,30096504,0,0,0,400
45.0,13.500001,400,400.0,1000.0,30071595,0,0,0,400
47.0,14.1,400,400.0,1000.0,30183050,0,0,0,400
49.0,14.700001,400,400.0,1000.0,30163011,0,0,0,400
51.0,15.3,400,400.0,1000.0,30239819,0,0,0,400
53.0,15.900001,400,400.0,1000.0,30525932,0,0,0,400
55.0,16.5,400,400.0,1000.0,30186811,0,0,0,400
57.0,17.1,400,400.0,1000.0,30254646,0,0,0,400
59.0,17.7,400,400.0,1000.0,30210591,0,0,0,400
61.0,18.300001,400,400.0,1000.0,30320932,0,0,0,400
63.0,18.900002,400,400.0,1000.0,30182906,0,0,0,400
65.0,19.5,400,400.0,1000.0,30304391,0,0,0,400
67.0,20.1,400,400.0,1000.0,30284649,0,0,0,400
69.0,20.7,400,400.0,1000.0,30317926,0,0,0,400
71.0,21.300001,400,400.0,1000.0,30349190,0,0,0,400
73.0,21.900002,400,400.0,1000.0,30339339,0,0,0,400
75.0,22.5,400,400.0,1000.0,30331681,0,0,0,400
15.0,6.0,400,400.0,1000.0,30154433,0,0,0,400
17.0,6.8,400,400.0,1000.0,29944414,0,0,0,400
19.0,7.6,400,400.0,1000.0,30030512,0,0,0,400
21.0,8.400001,400,400.0,1000.0,29952851,0,0,0,400
23.0,9.2,400,400.0,1000.0,30115059,0,0,0,400
25.0,10.0,400,400.0,1000.0,30067153,0,0,0,400
27.0,10.8,400,400.0,1000.0,30056615,0,0,0,400
29.0,11.6,400,400.0,1000.0,30096124,0,0,0,400
31.0,12.400001,400,400.0,1000.0,30114737,0,0,0,400
33.0,13.2,400,400.0,1000.0,30038208,0,0,0,400
35.0,14.0,400,400.0,1000.0,30142470,0,0,0,400
37.0,14.8,400,400.0,1000.0,30220299,0,0,0,400
39.0,15.6,400,400.0,1000.0,30232713,0,0,0,400
41.0,16.4,400,400.0,1000.0,30074870,0,0,0,400
43.0,17.2,400,400.0,1000.0,30141287,0,0,0,400
45.0,18.0,400,400.0,1000.0,30187611,0,0,0,400
47.0,18.800001,400,400.0,1000.0,30088350,0,0,0,400
49.0,19.6,400,400.0,1000.0,30134727,0,0,0,400
51.0,20.4,400,400.0,1000.0,30091271,0,0,0,400
53.0,21.2,400,400.0,1000.0,30262376,0,0,0,400
55.0,22.0,400,400.0,1000.0,30240892,0,0,0,400
57.0,22.800001,400,400.0,1000.0,30185521,0,0,0,400
59.0,23.6,400,400.0,1000.0,30267469,0,0,0,400
61.0,24.4,400,400.0,1000.0,30221164,0,0,0,400
63.0,25.2,400,400.0,1000.0,30265830,0,0,0,400
65.0,26.0,400,400.0,1000.0,30297734,0,0,0,400
67.0,26.800001,400,400.0,1000.0,30333962,0,0,0,400
