Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,30367994,0,0,0,400
17.0,1.7,400,400.0,1000.0,30031858,0,0,0,400
19.0,1.9,400,400.0,1000.0,29988084,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,29924087,0,0,0,400
23.0,2.3,400,400.0,1000.0,29893868,0,0,0,400
25.0,2.5,400,400.0,1000.0,29960889,0,0,0,400
27.0,2.7,400,400.0,1000.0,31190701,0,0,0,400
29.0,2.9,400,400.0,1000.0,29955828,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,30004105,0,0,0,400
33.0,3.3,400,400.0,1000.0,30027880,0,0,0,400
35.0,3.5,400,400.0,1000.0,30057889,0,0,0,400
37.0,3.7,400,400.0,1000.0,30030429,0,0,0,400
39.0,3.9,400,400.0,1000.0,30067732,0,0,0,400
41.0,4.1,400,400.0,1000.0,30146898,0,0,0,400
43.0,4.3,400,400.0,1000.0,30036218,0,0,0,400
45.0,4.5,400,400.0,1000.0,30057179,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,30117896,0,0,0,400
49.0,4.9,400,400.0,1000.0,30119258,0,0,0,400
51.0,5.1,400,400.0,1000.0,30211907,0,0,0,400
53.0,5.3,400,400.0,1000.0,30239323,0,0,0,400
55.0,5.5,400,400.0,1000.0,30119432,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,30172985,0,0,0,400
59.0,5.9,400,400.0,1000.0,30182853,0,0,0,400
61.0,6.1,400,400.0,1000.0,30219006,0,0,0,400
63.0,6.3,400,400.0,1000.0,30155425,0,0,0,400
65.0,6.5,400,400.0,1000.0,30319113,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,30403427,0,0,0,400
69.0,6.9,400,400.0,1000.0,30324491,0,0,0,400
71.0,7.1,400,400.0,1000.0,30264898,0,0,0,400
73.0,7.3,400,400.0,1000.0,30295262,0,0,0,400
75.0,7.5,400,400.0,1000.0,30382839,0,0,0,400
15.0,3.0,400,400.0,1000.0,30052989,0,0,0,400
17.0,3.4,400,400.0,1000.0,30146729,0,0,0,400
19.0,3.8,400,400.0,1000.0,29948768,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,30050064,0,0,0,400
23.0,4.6,400,400.0,1000.0,30076915,0,0,0,400
25.0,5.0,400,400.0,1000.0,30023592,0,0,0,400
27.0,5.4,400,400.0,1000.0,29967011,0,0,0,400
29.0,5.8,400,400.0,1000.0,30052976,0,0,0,400
31.0,6.2000003,400,400.0,1000.0,30010527,0,0,0,400
33.0,6.6,400,400.0,1000.0,30075614,0,0,0,400
35.0,7.0,400,400.0,1000.0,30110117,0,0,0,400
37.0,7.4,400,400.0,1000.0,30079324,0,0,0,400
39.0,7.8,400,400.0,1000.0,30134727,0,0,0,400
41.0,8.2,400,400.0,1000.0,30080413,0,0,0,400
43.0,8.6,400,400.0,1000.0,30340102,0,0,0,400
45.0,9.0,400,400.0,1000.0,30029450,0,0,0,400
47.0,9.400001,400,400.0,1000.0,30149122,0,0,0,400
49.0,9.8,400,400.0,1000.0,30170910,0,0,0,400
51.0,10.2,400,400.0,1000.0,30200113,0,0,0,400
53.0,10.6,400,400.0,1000.0,30222223,0,0,0,400
55.0,11.0,400,400.0,1000.0,30246397,0,0,0,400
57.0,11.400001,400,400.0,1000.0,30229814,0,0,0,400
