Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,400.0,1000.0,30351372,0,0,0,400
17.0,1.7,400,400.0,1000.0,29970260,0,0,0,400
19.0,1.9,400,400.0,1000.0,30031450,0,0,0,400
21.0,2.1000001,400,400.0,1000.0,29927257,0,0,0,400
23.0,2.3,400,400.0,1000.0,30010929,0,0,0,400
25.0,2.5,400,400.0,1000.0,30052825,0,0,0,400
27.0,2.7,400,400.0,1000.0,32565035,0,0,0,400
29.0,2.9,400,400.0,1000.0,29956892,0,0,0,400
31.0,3.1000001,400,400.0,1000.0,30044114,0,0,0,400
33.0,3.3,400,400.0,1000.0,30017127,0,0,0,400
35.0,3.5,400,400.0,1000.0,30085746,0,0,0,400
37.0,3.7,400,400.0,1000.0,30031636,0,0,0,400
39.0,3.9,400,400.0,1000.0,30376191,0,0,0,400
41.0,4.1,400,400.0,1000.0,30054895,0,0,0,400
43.0,4.3,400,400.0,1000.0,30117117,0,0,0,400
45.0,4.5,400,400.0,1000.0,30055266,0,0,0,400
47.0,4.7000003,400,400.0,1000.0,30088216,0,0,0,400
49.0,4.9,400,400.0,1000.0,30116595,0,0,0,400
51.0,5.1,400,400.0,1000.0,30106975,0,0,0,400
53.0,5.3,400,400.0,1000.0,30215746,0,0,0,400
55.0,5.5,400,400.0,1000.0,30160071,0,0,0,400
57.0,5.7000003,400,400.0,1000.0,30337292,0,0,0,400
59.0,5.9,400,400.0,1000.0,30128786,0,0,0,400
61.0,6.1,400,400.0,1000.0,30236149,0,0,0,400
63.0,6.3,400,400.0,1000.0,30288283,0,0,0,400
65.0,6.5,400,400.0,1000.0,30611173,0,0,0,400
67.0,6.7000003,400,400.0,1000.0,30472553,0,0,0,400
69.0,6.9,400,400.0,1000.0,30286486,0,0,0,400
71.0,7.1,400,400.0,1000.0,30247475,0,0,0,400
73.0,7.3,400,400.0,1000.0,30355386,0,0,0,400
75.0,7.5,400,400.0,1000.0,30367779,0,0,0,400
15.0,3.0,400,400.0,1000.0,29941358,0,0,0,400
17.0,3.4,400,400.0,1000.0,30529965,0,0,0,400
19.0,3.8,400,400.0,1000.0,29977104,0,0,0,400
21.0,4.2000003,400,400.0,1000.0,30152535,0,0,0,400
23.0,4.6,400,400.0,1000.0,29980295,0,0,0,400
25.0,5.0,400,400.0,1000.0,30164226,0,0,0,400
27.0,5.4,400,400.0,1000.0,30023764,0,0,0,400
29.0,5.8,400,400.0,1000.0,30016002,0,0,0,400
31.0,6.2000003,400,400.0,1000.0,30074479,0,0,0,400
33.0,6.6,400,400.0,1000.0,30126902,0,0,0,400
35.0,7.0,400,400.0,1000.0,30072653,0,0,0,400
37.0,7.4,400,400.0,1000.0,30101788,0,0,0,400
39.0,7.8,400,400.0,1000.0,30103092,0,0,0,400
41.0,8.2,400,400.0,1000.0,30108292,0,0,0,400
43.0,8.6,400,400.0,1000.0,30434185,0,0,0,400
45.0,9.0,400,400.0,1000.0,30053785,0,0,0,400
47.0,9.400001,400,400.0,1000.0,30235148,0,0,0,400
49.0,9.8,400,400.0,1000.0,30399242,0,0,0,400
51.0,10.2,400,400.0,1000.0,30285637,0,0,0,400
53.0,10.6,400,400.0,1000.0,30120036,0,0,0,400
55.0,11.0,400,400.0,1000.0,30223296,0,0,0,400
57.0,11.400001,400,400.0,1000.0,30224843,0,0,0,400
59.0,11.8,400,400.0,1000.0,30287179,0,0,0,400
61.0,12.2,400,400.0,1000.0,30193528,0,0,0,400
63.0,12.6,400,400.0,1000.0,30275522,0,0,0,400
65.0,13.0,400,400.0,1000.0,30249049,0,0,0,400
67.0,13.400001,400,400.0,1000.0,30333469,0,0,0,400
69.0,13.8,400,400.0,1000.0,30293183,0,0,0,400
