Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,460.0,1000.0,35807415,0,0,0,460
17.0,1.7,400,460.0,1000.0,35171827,0,0,0,460
19.0,1.9,400,460.0,1000.0,34004916,0,0,0,460
21.0,2.1000001,400,460.0,1000.0,33286402,0,0,0,460
23.0,2.3,400,460.0,1000.0,33412801,0,0,0,460
25.0,2.5,400,460.0,1000.0,33365329,0,0,0,460
27.0,2.7,400,460.0,1000.0,33355908,0,0,0,460
29.0,2.9,400,460.0,1000.0,33341290,0,0,0,460
31.0,3.1000001,400,460.0,1000.0,33336706,0,0,0,460
33.0,3.3,400,460.0,1000.0,33293152,0,0,0,460
35.0,3.5,400,460.0,1000.0,33384162,0,0,0,460
37.0,3.7,400,460.0,1000.0,33412893,0,0,0,460
39.0,3.9,400,460.0,1000.0,34237496,0,0,0,460
41.0,4.1,400,460.0,1000.0,33622821,0,0,0,460
43.0,4.3,400,460.0,1000.0,33465993,0,0,0,460
45.0,4.5,400,460.0,1000.0,33468645,0,0,0,460
47.0,4.7000003,400,460.0,1000.0,33378544,0,0,0,460
49.0,4.9,400,460.0,1000.0,33404991,0,0,0,460
51.0,5.1,400,460.0,1000.0,33408788,0,0,0,460
53.0,5.3,400,460.0,1000.0,33468839,0,0,0,460
55.0,5.5,400,460.0,1000.0,33577867,0,0,0,460
57.0,5.7000003,400,460.0,1000.0,33572166,0,0,0,460
59.0,5.9,400,460.0,1000.0,33562408,0,0,0,460
61.0,6.1,400,460.0,1000.0,33477624,0,0,0,460
63.0,6.3,400,460.0,1000.0,33593930,0,0,0,460
65.0,6.5,400,460.0,1000.0,33587872,0,0,0,460
67.0,6.7000003,400,460.0,1000.0,33609613,0,0,0,460
69.0,6.9,400,460.0,1000.0,33557336,0,0,0,460
71.0,7.1,400,460.0,1000.0,33623077,0,0,0,460
73.0,7.3,400,460.0,1000.0,33621300,0,0,0,460
75.0,7.5,400,460.0,1000.0,33687296,0,0,0,460
15.0,3.0,400,460.0,1000.0,33608553,0,0,0,460
17.0,3.4,400,460.0,1000.0,33467100,0,0,0,460
19.0,3.8,400,460.0,1000.0,33282624,0,0,0,460
21.0,4.2000003,400,460.0,1000.0,33314958,0,0,0,460
23.0,4.6,400,460.0,1000.0,33359754,0,0,0,460
25.0,5.0,400,460.0,1000.0,33297265,0,0,0,460
