Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,460.0,1000.0,35934781,0,0,0,460
17.0,1.7,400,460.0,1000.0,35248710,0,0,0,460
19.0,1.9,400,460.0,1000.0,33943953,0,0,0,460
21.0,2.1000001,400,460.0,1000.0,33277754,0,0,0,460
23.0,2.3,400,460.0,1000.0,33481173,0,0,0,460
25.0,2.5,400,460.0,1000.0,33328604,0,0,0,460
27.0,2.7,400,460.0,1000.0,33358606,0,0,0,460
29.0,2.9,400,460.0,1000.0,33301971,0,0,0,460
31.0,3.1000001,400,460.0,1000.0,33361166,0,0,0,460
33.0,3.3,400,460.0,1000.0,33427325,0,0,0,460
35.0,3.5,400,460.0,1000.0,33414546,0,0,0,460
37.0,3.7,400,460.0,1000.0,33466196,0,0,0,460
39.0,3.9,400,460.0,1000.0,34216500,0,0,0,460
41.0,4.1,400,460.0,1000.0,33704395,0,0,0,460
43.0,4.3,400,460.0,1000.0,33796044,0,0,0,460
45.0,4.5,400,460.0,1000.0,33406733,0,0,0,460
47.0,4.7000003,400,460.0,1000.0,33428327,0,0,0,460
49.0,4.9,400,460.0,1000.0,33503493,0,0,0,460
51.0,5.1,400,460.0,1000.0,33490979,0,0,0,460
53.0,5.3,400,460.0,1000.0,33668394,0,0,0,460
55.0,5.5,400,460.0,1000.0,33464817,0,0,0,460
57.0,5.7000003,400,460.0,1000.0,33536048,0,0,0,460
59.0,5.9,400,460.0,1000.0,33562316,0,0,0,460
61.0,6.1,400,460.0,1000.0,33600542,0,0,0,460
63.0,6.3,400,460.0,1000.0,33579304,0,0,0,460
65.0,6.5,400,460.0,1000.0,33627954,0,0,0,460
67.0,6.7000003,400,460.0,1000.0,33646498,0,0,0,460
69.0,6.9,400,460.0,1000.0,33613655,0,0,0,460
71.0,7.1,400,460.0,1000.0,33620306,0,0,0,460
73.0,7.3,400,460.0,1000.0,33603010,0,0,0,460
