Sensing Range,Communication Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Detection Time,Total Detections,Transmit Distance,Transmit Hops to Base
15.0,1.5,400,460.0,1000.0,35926943,0,0,0,460
17.0,1.7,400,460.0,1000.0,35315856,0,0,0,460
19.0,1.9,400,460.0,1000.0,33972025,0,0,0,460
21.0,2.1000001,400,460.0,1000.0,33282344,0,0,0,460
23.0,2.3,400,460.0,1000.0,33376850,0,0,0,460
25.0,2.5,400,460.0,1000.0,33402718,0,0,0,460
27.0,2.7,400,460.0,1000.0,33381525,0,0,0,460
29.0,2.9,400,460.0,1000.0,33357880,0,0,0,460
31.0,3.1000001,400,460.0,1000.0,33416154,0,0,0,460
33.0,3.3,400,460.0,1000.0,33349852,0,0,0,460
35.0,3.5,400,460.0,1000.0,33412890,0,0,0,460
37.0,3.7,400,460.0,1000.0,33482560,0,0,0,460
39.0,3.9,400,460.0,1000.0,34344219,0,0,0,460
41.0,4.1,400,460.0,1000.0,33673578,0,0,0,460
43.0,4.3,400,460.0,1000.0,33549073,0,0,0,460
45.0,4.5,400,460.0,1000.0,33477549,0,0,0,460
47.0,4.7000003,400,460.0,1000.0,33390856,0,0,0,460
49.0,4.9,400,460.0,1000.0,33495787,0,0,0,460
51.0,5.1,400,460.0,1000.0,33464463,0,0,0,460
53.0,5.3,400,460.0,1000.0,33540826,0,0,0,460
55.0,5.5,400,460.0,1000.0,33509920,0,0,0,460
57.0,5.7000003,400,460.0,1000.0,33517892,0,0,0,460
59.0,5.9,400,460.0,1000.0,33539439,0,0,0,460
61.0,6.1,400,460.0,1000.0,33536962,0,0,0,460
63.0,6.3,400,460.0,1000.0,33551908,0,0,0,460
65.0,6.5,400,460.0,1000.0,33520364,0,0,0,460
67.0,6.7000003,400,460.0,1000.0,33565920,0,0,0,460
69.0,6.9,400,460.0,1000.0,33715173,0,0,0,460
71.0,7.1,400,460.0,1000.0,33666302,0,0,0,460
73.0,7.3,400,460.0,1000.0,33635203,0,0,0,460
75.0,7.5,400,460.0,1000.0,33663200,0,0,0,460
15.0,3.0,400,460.0,1000.0,33640485,0,0,0,460
17.0,3.4,400,460.0,1000.0,33380784,0,0,0,460
19.0,3.8,400,460.0,1000.0,33274151,0,0,0,460
21.0,4.2000003,400,460.0,1000.0,33359309,0,0,0,460
23.0,4.6,400,460.0,1000.0,33349824,0,0,0,460
25.0,5.0,400,460.0,1000.0,33363024,0,0,0,460
27.0,5.4,400,460.0,1000.0,33293740,0,0,0,460
29.0,5.8,400,460.0,1000.0,33367151,0,0,0,460
31.0,6.2000003,400,460.0,1000.0,33362031,0,0,0,460
33.0,6.6,400,460.0,1000.0,33422871,0,0,0,460
35.0,7.0,400,460.0,1000.0,33436201,0,0,0,460
37.0,7.4,400,460.0,1000.0,33426977,0,0,0,460
39.0,7.8,400,460.0,1000.0,33375582,0,0,0,460
41.0,8.2,400,460.0,1000.0,33442100,0,0,0,460
43.0,8.6,400,460.0,1000.0,33446952,0,0,0,460
45.0,9.0,400,460.0,1000.0,33453736,0,0,0,460
47.0,9.400001,400,460.0,1000.0,33425034,0,0,0,460
49.0,9.8,400,460.0,1000.0,33449713,0,0,0,460
51.0,10.2,400,460.0,1000.0,33544567,0,0,0,460
53.0,10.6,400,460.0,1000.0,33669555,0,0,0,460
55.0,11.0,400,460.0,1000.0,33607258,0,0,0,460
57.0,11.400001,400,460.0,1000.0,33547344,0,0,0,460
59.0,11.8,400,460.0,1000.0,33438539,0,0,0,460
61.0,12.2,400,460.0,1000.0,33503115,0,0,0,460
63.0,12.6,400,460.0,1000.0,33554207,0,0,0,460
65.0,13.0,400,460.0,1000.0,33547908,0,0,0,460
67.0,13.400001,400,460.0,1000.0,33670604,0,0,0,460
69.0,13.8,400,460.0,1000.0,33710012,0,0,0,460
71.0,14.2,400,460.0,1000.0,33650534,0,0,0,460
73.0,14.6,400,460.0,1000.0,33571130,0,0,0,460
75.0,15.0,400,460.0,1000.0,33587580,0,0,0,460
15.0,4.5,400,460.0,1000.0,33278655,0,0,0,460
17.0,5.1000004,400,460.0,1000.0,33273166,0,0,0,460
19.0,5.7000003,400,460.0,1000.0,33278446,0,0,0,460
21.0,6.3,400,460.0,1000.0,33336094,0,0,0,460
23.0,6.9,400,460.0,1000.0,33305515,0,0,0,460
25.0,7.5000005,400,460.0,1000.0,33545900,0,0,0,460
27.0,8.1,400,460.0,1000.0,33359492,0,0,0,460
29.0,8.700001,400,460.0,1000.0,33339979,0,0,0,460
31.0,9.3,400,460.0,1000.0,33397703,0,0,0,460
33.0,9.900001,400,460.0,1000.0,35298607,0,0,0,460
35.0,10.5,400,460.0,1000.0,35997401,0,0,0,460
37.0,11.1,400,460.0,1000.0,35201674,0,0,0,460
39.0,11.700001,400,460.0,1000.0,34344996,0,0,0,460
41.0,12.3,400,460.0,1000.0,33739831,0,0,0,460
43.0,12.900001,400,460.0,1000.0,33795685,0,0,0,460
45.0,13.500001,400,460.0,1000.0,33927992,0,0,0,460
47.0,14.1,400,460.0,1000.0,34200451,0,0,0,460
49.0,14.700001,400,460.0,1000.0,33936624,0,0,0,460
51.0,15.3,400,460.0,1000.0,34141293,0,0,0,460
53.0,15.900001,400,460.0,1000.0,33865955,0,0,0,460
55.0,16.5,400,460.0,1000.0,33843120,0,0,0,460
57.0,17.1,400,460.0,1000.0,33981623,0,0,0,460
59.0,17.7,400,460.0,1000.0,33711438,0,0,0,460
61.0,18.300001,400,460.0,1000.0,34749105,0,0,0,460
63.0,18.900002,400,460.0,1000.0,34864989,0,0,0,460
65.0,19.5,400,460.0,1000.0,35331706,0,0,0,460
67.0,20.1,400,460.0,1000.0,34856683,0,0,0,460
69.0,20.7,400,459.0,989.377,37158382,159,20.615528128088364,1,460
71.0,21.300001,400,459.0,987.676,42078092,182,20.615528128088382,1,460
73.0,21.900002,400,459.0,989.734,41821055,147,20.615528128088354,1,460
75.0,22.5,400,459.0,990.207,43531494,135,20.61552812808834,1,460
15.0,6.0,400,460.0,1000.0,43223369,0,0,0,460
17.0,6.8,400,460.0,1000.0,43281490,0,0,0,460
19.0,7.6,400,460.0,1000.0,43098482,0,0,0,460
21.0,8.400001,400,460.0,1000.0,43033068,0,0,0,460
23.0,9.2,400,460.0,1000.0,43520067,0,0,0,460
25.0,10.0,400,460.0,1000.0,42663742,0,0,0,460
27.0,10.8,400,460.0,1000.0,41076262,0,0,0,460
29.0,11.6,400,460.0,1000.0,41348374,0,0,0,460
31.0,12.400001,400,460.0,1000.0,40536623,0,0,0,460
33.0,13.2,400,460.0,1000.0,40888706,0,0,0,460
35.0,14.0,400,460.0,1000.0,42039381,0,0,0,460
37.0,14.8,400,460.0,1000.0,38633304,0,0,0,460
39.0,15.6,400,460.0,1000.0,40509343,0,0,0,460
41.0,16.4,400,460.0,1000.0,41200720,0,0,0,460
43.0,17.2,400,460.0,1000.0,40557827,0,0,0,460
45.0,18.0,400,460.0,1000.0,41000585,0,0,0,460
47.0,18.800001,400,460.0,1000.0,41073963,0,0,0,460
49.0,19.6,400,460.0,1000.0,40787516,0,0,0,460
51.0,20.4,400,460.0,1000.0,40342816,0,0,0,460
53.0,21.2,400,459.0,995.037,40777219,91,20.615528128088286,1,460
55.0,22.0,400,459.0,995.046,39704949,90,20.615528128088286,1,460
57.0,22.800001,400,459.0,994.052,40806341,107,20.6155281280883,1,460
59.0,23.6,400,459.0,992.448,39969876,127,20.615528128088332,1,460
61.0,24.4,400,459.0,991.042,40403161,149,20.615528128088357,1,460
